Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position
balaban(erik-duduk)--re,Balaban(Erik Duduk)  Re,"<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;""></span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""font-weight: bold;"">Erik Balaban RE&nbsp;</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: medium;""><span courier="""" new"",="""" courier,="""" monospace;""="""">Ağacı en az 3 yıl kurutulmuş Erişk ABlaban&nbsp;</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: 10pt; font-family: "" courier="""" new"",="""" courier,="""" monospace;""="""">Boy: 31.9&nbsp;cm</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: 20px; font-family: "" courier="""" new"",="""" courier,="""" monospace;""="""">Ses: RE</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-size: medium;""><span courier="""" new"",="""" courier,="""" monospace;="""" font-size:="""" 20px;""="""">Seçilmiş erik ağacından yapılmıştır.Profesyonel delik açkıları vardır.Ölçüler sağlam ve düzgündür.</span></p>",,Üflemeli Çalgılar,Balaban,TRUE,Title,Default Title,,101,deny,manual,12.737,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/013/balaban-re.jpg?revision=1697143329,
balaban(erik-duduk)--sol,Balaban(Erik Duduk)  Sol,"<p style=""text-align: left; margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 26px; font-weight: bold;"">Erik Duduk ( Balaban ) Profesyonel SOL</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;"">&nbsp;</p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;"">Ağaç: En az 3 yıl kurutulmuş erik ağacı</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;"">Boy: 42&nbsp;cm</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;"">Ses: SOL</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""font-family: inherit; font-size: 20px;"">Seçilmiş erik ağacından yapılmıştır.Profesyonel delik açkıları vardır.Ölçüler sağlam ve düzgündür.</span></p>",,Üflemeli Çalgılar,Balaban,TRUE,Title,Default Title,,101,deny,manual,12.737,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/014/balaban-re.jpg?revision=1697143329,
balaban(erik-duduk)--si̇-be-mol,Balaban(Erik Duduk)  Sİ Be Mol,"<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium; text-align: center;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 26px;"">Erik Duduk ( Balaban ) Profesyonel Sİ Bemol</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;"">&nbsp;</p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;"">Ağaç: En az 3 yıl kurutulmuş erik ağacı</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;"">Boy: 35.9&nbsp;cm</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: inherit; vertical-align: baseline; font-size: 20px;"">Ses: Sİ BEMOL</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;"">&nbsp;<span style=""font-family: inherit; font-size: 20px;"">Seçilmiş erik ağacından yapılmıştır.Profesyonel delik açkıları vardır.Ölçüler sağlam ve düzgündür.</span></p>",,Üflemeli Çalgılar,Balaban,TRUE,Title,Default Title,,101,deny,manual,12.737,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/015/balaban-re.jpg?revision=1697143329,
zurna(dut)-do,Zurna(Dut) Do,"<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium; text-align: center;""><strong style=""margin: 0px; padding: 0px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); font-size: 12px; text-align: start; color: rgb(192, 0, 0); font-family: Tahoma;"">Profosyonel Dut Ağacı Cura Zurna (Do)</strong><strong style=""margin: 0px; padding: 0px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); outline: none 0px; text-align: start; font-size: small; font-family: Tahoma;"">&nbsp;</strong></p>
<p style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium; text-align: center;""><strong style=""margin: 0px; padding: 0px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); outline: none 0px; text-align: start; font-size: small; font-family: Tahoma;""> Sesleri Kontrol Edilmiş , Profosyonel Olarak Tasarlanmıştır , Piyasadaki Sesleri Belirsiz Zurnalarla Kıyaslanamaz Ortalama Boyu 32 cm Dir.&nbsp;</strong></p>",,Üflemeli Çalgılar,Zurna,TRUE,Title,Default Title,,200,deny,manual,9.542,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/016/dut-zurna.jpg?revision=1697143329,
zurna(dut)-re,Zurna(Dut) Re,"<p style=""text-align: center; margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><strong style=""margin: 0px; padding: 0px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); font-size: 12px; text-align: start; color: rgb(192, 0, 0); font-family: Tahoma;"">Profosyonel Dut Ağacı Re</strong></p>
<p style=""text-align: center; margin: 0px; padding: 0px; border: 0px; outline: 0px; font-family: nunito; vertical-align: baseline; font-size: medium;""><strong style=""margin: 0px; padding: 0px; -webkit-tap-highlight-color: rgba(0, 0, 0, 0); outline: none 0px; text-align: start; font-size: small; font-family: Tahoma;""> Sesleri Kontrol Edilmiş , Profosyonel Olarak Tasarlanmıştır , Piyasadaki Sesleri Belirsiz Zurnalarla Kıyaslanamaz Ortalama Boyu 32 cm Dir.&nbsp;</strong></p>",,Üflemeli Çalgılar,Zurna,TRUE,Title,Default Title,,200,deny,manual,9.542,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/017/dut-zurna.jpg?revision=1697143329,
zurna(erik)-do,Zurna(Erik) Do,"<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold;"">Zurna Erik (Do)</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Kullanımı kolay, kaliteli Erik Zurna</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Do akordunda Erik Zurna</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Erik Zurna ve diğer ürünlerimiz için lütfen sitemizi inceleyiniz.</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Zurna, Türkiye'nin her yanında kullanılan, yüksek sesli,</span>&nbsp;<span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">bu yüzden büyük davul ile birlikte çalınan, yine bu yüzden&nbsp;</span>&nbsp;<span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">açık havada kullanıma uygun, nefesli saz çeşididir.</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Ağacı : Erik</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Delik Sayısı : 7</span></p>",,Üflemeli Çalgılar,Zurna,TRUE,Title,Default Title,,101,deny,manual,28.669,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/018/erik-zurna.jpg?revision=1697143329,
zurna(erik)-re,Zurna(Erik) Re,"<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold;"">Zurna Erik (RE)</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Ucuz ve kaliteli Erik Zurna</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Re akordunda&nbsp; Erik Zurna</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Erik Zurna ve diğer ürünlerimiz için lütfen sitemizi inceleyiniz.</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Zurna, Türkiye'nin her yanında kullanılan, yüksek sesli,</span>&nbsp;<span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">bu yüzden büyük davul ile birlikte çalınan, yine bu yüzden&nbsp;</span>&nbsp;<span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">açık havada kullanıma uygun, nefesli saz çeşididir.</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Ağacı : Erik</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Delik Sayısı : 7</span></p>",,Üflemeli Çalgılar,Zurna,TRUE,Title,Default Title,,101,deny,manual,28.669,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/019/erik-zurna.jpg?revision=1697143329,
zurna(erik)-mi,Zurna(Erik) Mi,"<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold;"">Zurna Erik&nbsp;</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Kullanımı kolay, ekonomik Erik Zurna</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Mi akortlu Erik Zurna</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;"">Erik Zurna ve diğer ürünlerimiz için lütfen sitemizi inceleyiniz.</p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Zurna, Türkiye'nin her yanında kullanılan, yüksek sesli,</span>&nbsp;<span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">bu yüzden büyük davul ile birlikte çalınan, yine bu yüzden&nbsp;</span>&nbsp;<span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">açık havada kullanıma uygun, nefesli saz çeşididir.</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Ağacı : Erik</span></p>
<p style=""margin: 0px; padding: 0px; border: 0px; position: relative; color: rgb(32, 32, 32); font-family: Arial, Helvetica, sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; position: relative; line-height: 1.6em;"">Delik Sayısı : 7</span></p>",,Üflemeli Çalgılar,Zurna,TRUE,Title,Default Title,,200,deny,manual,28.669,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/020/erik-zurna.jpg?revision=1697143329,
mey(dut)-sol-karar,Mey(Dut) Sol Karar,"<p style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(139, 139, 139); font-family: "" open="""" sans"",="""" arial,="""" helvetica,="""" sans-serif;="""" font-size:="""" 13px;""=""""><span style=""font-weight: bold; font-family: Tahoma; font-size: 14pt; color: rgb(255, 0, 0);"">Sol Karar</span><strong style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; font-family: Tahoma; color: rgb(255, 0, 0);""><span style=""font-size: 14pt;"">&nbsp;</span></strong><span style=""font-weight: bold; font-family: Tahoma; font-size: 14pt; color: rgb(255, 0, 0);"">Dut Ağacı Mey&nbsp;</span><strong style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(255, 0, 0); font-family: Tahoma;""><span style=""font-size: 14pt;"">&nbsp;</span></strong></p>
<p style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(139, 139, 139); font-family: "" open="""" sans"",="""" arial,="""" helvetica,="""" sans-serif;="""" font-size:="""" 13px;""=""""><strong style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(255, 0, 0); font-family: Tahoma;""><span style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(0, 0, 0); font-size: 10pt;"">Dut Ağacından Profosyonel Olarak Yapılmıştır,Sesleri Doğru ve Temizdir Ortalama Boyu 28-29 cm Dir.&nbsp;</span></strong></p>",,Üflemeli Çalgılar,Mey,TRUE,Title,Default Title,,199,deny,manual,296.61,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/021/mey-fa.jpg?revision=1697143329,
mey(dut)-fa-karar,Mey(Dut) Fa Karar,"<p style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(139, 139, 139); font-family: "" open="""" sans"",="""" arial,="""" helvetica,="""" sans-serif;="""" font-size:="""" 13px;""=""""><span style=""font-weight: bold; font-family: Tahoma; font-size: 14pt; color: rgb(255, 0, 0);"">Fa Karar</span><strong style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; font-family: Tahoma; color: rgb(255, 0, 0);""><span style=""font-size: 14pt;"">&nbsp;</span></strong><span style=""font-weight: bold; font-family: Tahoma; font-size: 14pt; color: rgb(255, 0, 0);"">Dut Ağacı Mey&nbsp;</span><strong style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(255, 0, 0); font-family: Tahoma;""><span style=""font-size: 14pt;"">&nbsp;</span></strong></p>
<p style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(139, 139, 139); font-family: "" open="""" sans"",="""" arial,="""" helvetica,="""" sans-serif;="""" font-size:="""" 13px;""=""""><strong style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(255, 0, 0); font-family: Tahoma;""><span style=""margin: 0px; outline: 0px; padding: 0px; box-sizing: border-box; color: rgb(0, 0, 0); font-size: 10pt;"">Dut Ağacından Profosyonel Olarak Yapılmıştır,Sesleri Doğru ve Temizdir Ortalama Boyu 28-29 cm Dir.&nbsp;</span></strong></p>",,Üflemeli Çalgılar,Mey,TRUE,Title,Default Title,,199,deny,manual,296.61,0.0,TRUE,TRUE,https://ideacdn.net/idea/cv/72/myassets/products/022/mey-fa.jpg?revision=1697143329,
